"ID","Age_Frac","DG_UG_RT_Diff_log","Session","Online","UG_Offer_Accept","it_P6","lr_P6","eg_P6","w_P6","st_P6","repst_P6","w_lo","w_hi","w_diff","Perc_Delay","Corr_r_Exp_Delay","Corr_int_Exp_Delay","Corr_r_Exp_Reward","Corr_int_Exp_Reward","School","Gender","T_Vocab","T_Matrix","Age_Frac_Imp","Corsi_WM_Span","AXCPT_t","CogFlex_t","SSRT","FlankerSwitch_t","FlankerInhib_t","Stroop_t","OneBack_WM_t","TwoBack_WM_t","Flank_Cong_Cost_t","Flank_Incon_Cost_t","SES_inv_z","DG_UG_Diff_z","DG_Coins_Given_z","UG_Coins_Given_z","DG_RT_log","UG_RT_log","UG_Decision_RT_log","TD_AvgRT_log"
49,7.308333333,0.643133275942573,0,0,1,0.863567547,0.60355177,0.516687982,0.468818677,-0.061405632,0.350817911,0.304442209,0.679020914,0.374578705,0,0.0928571428571428,-5.21,0,5,"St. Bartholomew's","M",58,45,7.308333333,4,0.73062432,1.2113533,-1.7618663,-0.76545191,-0.8902179,0.51650989,0.76190472,0.29761904,0.397665363097961,3.54885913750523,-0.587074633430099,0.149310244316598,-0.0070589880824997,0.325562257348941,-1.07141236874146,-1.23696537153038,-2.45556365759113,-6.65377343081215
49,NA,NA,1,0,1,1.296684287,0.000529739,0.505337876,0.810838399,-0.061405632,-0.065990304,0.624918696,0.640794747,0.021273231,100,-0.552903404314286,9.66666666666667,0,-3.06,"St. Bartholomew's","M",80,55,9.155555556,5,-0.61493778,-0.013798505,-1.1015543,-0.41292435,-1.3059661,-0.36165273,0.58333331,0.64285713,-0.0249531293959454,0.374914376006595,-0.587074633430099,0.966125110283867,-0.81884261756997,0.325562257348941,-1.31970930271946,-1.48694738543159,-3.37659726479392,-7.93741671206633
59,7.580555556,-0.454013368735579,0,0,0,1.619252649,0.39942972,0.516905425,0.485192035,0.084069288,2.621177359,0.506834737,0.479048589,-0.027786148,100,0,5,0.762,-7.135,"St. Bartholomew's","M",22,55,7.580555556,4,-0.027916834,-0.18841195,-1.6164795,0.00071883202,0.039962474,0.093663007,0.66666669,0.51190472,0.16695397974062,0.0809947471523293,-1.40088153907025,-0.667504621650672,0.804724641404971,0.325562257348941,-1.30200654468796,-1.6584729445257,-2.57154295644755,-6.72531606818722
59,7.913888889,0.0916454749455654,1,0,0,0.50797189,0.650452741,0.607306998,0.309793583,-0.330021119,0.490242015,0.427442957,0.383935475,-0.043507482,27.77777778,-0.477142857142857,3.69333333333333,-0.7045,1.03,"St. Bartholomew's","M",56,77,7.913888889,5,-0.51169449,1.0315214,0.14140686,1.4944801,1.2899458,-0.5241816,0.91666669,0.66666669,1.7200133996106,-1.28880139838441,-1.40088153907025,-0.667504621650672,0.804724641404971,0.325562257348941,-1.07431959609907,-1.34558396740328,-1.85770325252209,-7.794067787474
61,9.65,NA,0,0,0,0.590319942,0.586051563,0.645562481,0.512840682,-0.5415527,-0.595405667,0.624918696,0.400783024,-0.224135672,0,-1.16628571428571,2.362,0,5,"St. Mary's","M",23,32,9.65,4,0.50633693,-0.013798505,0.23720294,-0.14691956,0.23302655,-0.92922276,0.85119045,0.33333331,-0.327865331072289,-0.633275008087683,0.633635725030131,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.790500725815855,-0.764337635789945,-1.79741014073687,-6.77199919138641
61,9.877777778,-0.425407781806539,1,0,1,0.433230554,0.234041686,0.47183281,0.385730475,0.534290818,-0.418523015,0.431138138,0.452411368,0.021273231,0,-1.36,7.4,-0.3265,-2.365,"St. Mary's","M",48,53,9.877777778,5,-0.28237534,0.012838863,1.0778844,0.46262485,0.5265913,-0.34091291,0.66666669,0.26190478,0.0273509650550008,-1.33550530245009,0.633635725030131,-0.667504621650672,0.804724641404971,0.325562257348941,-0.298251023801015,-1.05699632834596,-2.48140051045871,-5.98183499821628
62,9.886111111,0.14571414534098,0,0,1,0.678795917,0.512755757,0.479693977,0.525558769,1.08280819,-0.698028365,0.622530428,0.390398105,-0.232132323,0,-0.674285714285714,-1.06333333333333,0.2895,2.925,"St. Mary's","F",50,45,9.886111111,6,0.3115761,-0.76251578,0.32806972,-1.0627265,-0.022686765,-0.19530252,0.91666669,0.71428573,-1.29204845986881,-0.933016167997608,-0.587074633430099,0.149310244316598,-0.81884261756997,-1.69292373821449,-0.167348913273863,-0.716165919346356,-2.05425193060618,-7.10177287549083
62,NA,NA,1,0,1,0.499559362,0.573857399,0.479970563,0.528113843,-0.156940954,-1.319046225,0.545508589,0.487912656,-0.061261007,50,0.795428571428572,-5.21,-0.3195,0.91,"St. Mary's","F",72,68,8.041666667,6,-0.072187267,1.2331991,-1.3410834,-1.0781063,-0.10443524,0.093663007,0.91666669,0.71428573,-0.689732735923232,0.517949333661361,-0.587074633430099,0.966125110283867,-1.63062624705744,-1.69292373821449,-0.477061993406313,-1.09804069667386,-2.05425193060618,-6.72531606818722
65,10.08333333,3.22245364263186,0,0,0,0.481256774,0.522480676,0.429703369,0.604827567,-0.20355919,-0.394516036,0.563275286,0.549226325,-0.014048961,33.33333333,-1.78628571428571,7.762,0.225,3.5,"St. Bartholomew's","M",48,31,10.08333333,5,0.78818744,-0.4433766,0.20085622,-0.18393263,0.32551903,-0.51821154,0.88095242,0.17857143,0.172796489063302,-0.203060809438789,1.04053917785021,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.646055573026095,-0.666729867315579,-1.58739678155722,-6.76356409752378
65,10.30277778,-0.428266657667861,1,0,0,0.529074296,0.350103758,0.489449035,0.392915479,-0.425305432,-0.597937211,0.348350769,0.546648996,0.198298226,22.22222222,-0.54,3.74333333333333,-0.307,-2.785,"St. Bartholomew's","M",65,63,10.30277778,5,-0.024052383,0.77558595,0.073299408,-0.15783009,-0.8902179,-0.34497419,0.76190472,0.10714287,-0.693429559554982,0.754784304929573,1.04053917785021,0.966125110283867,0.804724641404971,4.36253424847581,-0.253737416140212,-1.0379519517764,-2.50723875499441,-7.00149857550211
67,10.13888889,NA,0,0,0,0.510814774,0.248354696,0.495056512,0.35943054,-0.399621095,-0.528041252,0.412568703,0.438824771,0.026256068,5.555555556,-1.114,4.54933333333333,0.6275,-3.06,"St. Saviours","M",53,55,10.13888889,7,0.50083399,-0.53647733,0.63701677,0.35371682,-0.44553339,0.64871466,0.81547618,0.52380955,-0.693429559554982,0.23134165454976,0.633635725030131,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.61094241528171,-0.396952790245198,-1.00576573830176,-7.06437908895752
67,10.41388889,NA,1,0,0,0.412542609,0.717886,0.506625175,0.630816264,-0.440208868,-0.349792924,0.374389152,0.721673677,0.347284525,5.555555556,-2.28571428571429,9.66666666666667,0,-5,"St. Saviours","M",57,56,10.41388889,7,0.73706222,1.2878773,-0.33927473,-0.16575348,0.6841467,1.3031067,0.92261904,0.88095242,0.629036195465527,-0.203060809438789,1.04053917785021,2.5997548422184,-1.63062624705744,2.34404825291238,-0.868290255679083,-0.63793644881404,-1.83513819253,-6.78545470159507
