ID,Session,Online,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Online_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
201,0,0,6,3,3,2.523833333,WindowsLaptop,7,No,0,3,3,11.912,3.829428571,,0,1.305595238,,,,,,,,,,,,,,,,4,22.22222222,1034.833333,892.7654491,861.5882353,790.75,6,2.01,5,1.11,4,10,1,3,-0.494285714,-1.26,0.232370538,0,5,1,Newland House,M,1,0,9.069444444,"9,0",190,8,30,3,9.375,2,Experimental,-0.026824117,1,1,1,16,36,15,48,84,86,18,9.0694447,5,-0.065989964,291.47778,0.51057571,2.3998325,0.50780118,0.48020923,-0.67653406,0.95833331,0.79761904,,,,
201,1,1,,3,3,19.324035,MacIntel,,No,0,,,2.367955,,1,,,2.367955,,,,,,,,,,,,,,,7,38.88888889,3.459443611,2.060403123,3.459443611,3.259727143,6,4.460807292,6,2.179414063,4,9.970594618,2,2.990442708,-2.227720734,7.257829861,0.910273567,-0.004414063,4.992664931,0.6,Newland House,M,1,0,9.566666667,"9,6",190,8,30,3,9.375,2,Experimental,-0.026824117,1,1,1,,,19,56,,,,9.0694447,6,0.4233323,,,-0.008051056,,,,,,,,,
201,2,1,,6,0,3.43207,MacIntel,,Yes,1,,,3.8337,,3,,,28.12373,,,,,,,,,,,,,,,11,61.11111111,1.220644722,1.308803944,1.220644722,1.399648182,6,5.995688657,6,3.099162326,4,0.001063368,2,0.00031901,-2.101031746,8.349299769,0.899982525,-0.000425347,-4.996809896,0.8,Newland House,M,1,0,10.17777778,"10,2",190,8,30,3,9.375,2,Experimental,-0.026824117,1,1,1,,,16,49,,,,9.0694447,6,0.000619747,218.56091,0.77617145,1.2043656,,,,,,,,,
202,0,0,6,4,2,1.798833333,WindowsLaptop,7,Yes,1,2,4,15.265,3.487,,0,1.688166667,,1.296684287,0.839617214,0.514458123,0.893768453,0.758670401,-0.065990304,1.165808793,0.808938215,0.521771554,0.79746419,0.840502292,0.873589201,-0.060433391,0.043038102,2,11.11111111,998.5555556,922.7261542,820.2941176,2412.5,6,6.633333333,6,3.326,4,8.6475,4,2.597,-0.576,3.649333333,0.968594784,0.4455,1.42,0.989808679,Newland House,F,2,0,11.23611111,"11,2",196,8,27,10,37.03703704,2,Control,-1.09114196,1,1,1,38,63,20,54,117,115,86,11.236111,7,-0.43897238,82.833313,,-0.56242478,-0.81456506,0.55110812,-0.56533378,0.88095242,0.4642857,,,,
202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newland House,F,2,0,,,196,8,27,10,37.03703704,2,Control,-1.09114196,1,1,1,,,,,,,,11.236111,,,,,,,,,,,,,,
202,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newland House,F,2,0,,,196,8,27,10,37.03703704,2,Control,-1.09114196,1,1,1,,,,,,,,11.236111,,,,,,,,,,,,,,
203,0,0,12,5,1,2.103833333,WindowsLaptop,7,No,0,3,3,20.006,5.124571429,,2,3.020738095,,,,,,,,,,,,,,,,11,61.11111111,1717.944444,1035.342312,1717.944444,1590.727273,6,1.993333333,3,0.598,4,2.29,3,0.463,-0.28,-2.026666667,0.027660547,1.354,-9.48,0.599934552,Newland House,F,2,0,7.711111111,"7,8",,,,,,,,,1.5,2,1,26,60,13,50,110,109,73,7.7111111,5,-0.31667435,,,-0.72598499,-0.63375688,0.27465847,-0.007057965,0.84523809,0.42857143,111,,111,-175
203,1,1,,4,2,10.753,Win32,,Yes,1,,,7.207,,1,,,7.207,,,,,,,,,,,,,,,18,100,1.624111111,1.386630571,1.377764706,1.624111111,6,3.358333333,5,1.519375,4,2.4875,3,0.499375,-0.563571429,0.330833333,0.042792733,1.48375,-9.93125,0.601011376,Newland House,F,2,0,8.038888889,"8,0",,,,,,,,,1.5,2,1,,,17,58,,,,7.7111111,5,0.007982524,126.65137,-0.99331003,-0.12206137,,,,,,109,,109,
203,2,1,,3,3,4.01109,Win32,,Yes,1,,,1.74726,,1,,,1.74726,,,,,,,,,,,,,,,0,0,1.020709722,0.947788787,0.816782059,,6,0.835416667,5,0.4,4,7.209375,4,2.08625,-0.485357143,-2.465833333,0.864912586,0.651875,-1.05,0.780931289,Newland House,F,2,0,8.783333333,"8,9",,,,,,,,,1.5,2,1,,,19,59,,,,7.7111111,7,-0.019189224,8.2602539,-0.002325147,-0.75702107,,,,,,,,,
204,0,1,,3,3,3.30355,Win32,,Yes,1,,,3.4781,,1,,,3.4781,,,,,,,,,,,,,,,18,100,0.697763889,0.633963168,0.579839118,0.697763889,6,9.097222223,6,4.56640625,4,8.756510417,4,2.606770833,-0.443452381,5.649305556,0.968172402,0.311197917,2.200520833,0.906466714,Orley Farm,F,1,1,11.15277778,"11,1",206,8,32,8,24.24242424,2,Experimental,-5.539820276,1.5,1.5,1.5,,,20,55,,,,11.152778,6,-0.74508774,158.65387,-0.50750595,-0.3806912,,,,,,,,,
